#gene	differential_expression_T_test_p_value	out_aug/HAP1_KO1_a_L000/HAP1_KO1_a_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_b_L000/HAP1_KO1_b_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_c_L000/HAP1_KO1_c_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_a_L000/HAP1_P1_a_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_b_L000/HAP1_P1_b_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_c_L000/HAP1_P1_c_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM
ACTG2	0.00819324079350707	17.287347119563286	17.228345743389117	18.93111554720728	20.840931178247818	21.673691835610843	22.01916668908414
ACTL6A	0.021110710211901713	3.4937853556145533	3.2495320668602363	3.367673653284012	2.937792084197531	3.145137565224021	2.9523119045946125
ACVR1	0.03183935049424181	1.6604424106518774	1.3414802223571478	1.339101673340621	1.853872028058115	1.857364865863965	2.2244992413940494
ACY1	0.004417589244460012	6.244811885488423	6.04539122271301	6.712334199142568	4.68387760244341	4.527115197397436	4.934782312296036
ADA	0.02861265429139923	17.36437548910121	15.899634629749437	16.282625711673884	14.611697130588992	15.181202720603666	14.011918943754232
ADAM19	0.0018613924522056762	1.5610865712448296	1.2376581107266997	1.5676012575787064	2.6701059815469566	2.914357277876275	2.4834508195929796
ADAMTS17	0.04612429999329686	1.5811744771564111	1.3998655985436834	1.2969352932203675	1.0392928119981049	1.1438164987080979	1.132739641277731
ADAMTS2	0.027067035521686905	4.349896709245928	3.481301707660395	4.226866768243501	5.240704653171305	5.830993405152783	4.9051236576579145
ADAMTS7	0.005172255766256403	5.135622637135206	6.323303214161925	6.014085433222816	7.993972333949915	8.508824190266848	9.167979094116737
ADAMTS9	0.0166689101621218	0.7338864654811045	0.5622232652307227	0.7163023567746959	1.0654249171659493	1.0204068331302134	1.0343846324785197
ADAMTSL4	0.037161323448124055	4.558898941172397	4.706469768242741	4.2684377141682965	4.8831584750472095	5.285173054392856	5.4929981596544275
ADCK1	0.04305801050055999	10.35509716818556	10.159457677109783	9.543800726403832	8.337056966386472	9.046289026262789	9.307659470799901
ADCY1	0.0005072864889269758	2.5221049257281587	2.253576165934713	2.250873563789759	0.9183457052267805	1.0592326462416366	1.139615180805418
ADCY7	0.03587280244321857	8.837884168028333	7.923554682548253	8.497861204126012	9.7522732451479	9.742809130486373	9.819838659276188
ADCY9	0.04565760868851896	17.86931316488284	17.657821693967858	16.68463460710882	15.71970921250965	15.791288459810474	15.784797557061404
ADD2	0.008556625108426703	17.821799499294574	16.55751636376006	18.02003056709929	14.894885836524095	14.186075828927484	14.065171032123745
ADGRA2	0.0012162489586997416	8.748086133133887	8.564750050507536	8.256468036117347	10.519377273241847	10.645332360028812	10.080293565141043
ADGRB1	0.00017595357272495477	6.480745181608223	6.655332678213154	6.06153042852817	13.799643451234685	14.770371254591241	13.832020170253093
ADGRB2	0.0006898721436642604	12.562447766189871	12.370440118126083	12.878081180505454	17.5543527214899	18.60161519075209	18.312976371830633
ADGRE5	0.027417493106138724	10.166732738077938	9.986737636028414	9.01769726153328	12.878081180505454	13.351676797409775	11.28900691750423
ADGRG6	0.021265975942674882	1.4312039353762305	1.9755968028057165	1.7737185331705145	1.1563013856912792	0.7652957767161707	0.9772979154888152
ADGRL3	0.0037123866433438194	3.611130713096579	3.5186300387250005	3.3489268585993632	2.312048596128902	2.717971161412103	2.4725059277395545
ADM2	0.010054444398041679	13.137330300152653	12.159376361216891	9.671228647183975	3.5084618343915888	3.3223554572094187	2.573237063224826
ADM5	0.04874886661813081	14.505454002280208	16.408728524566428	13.058829796954745	19.81823500289084	22.660120819373176	17.496440913489558
ADPRH	0.025766006655312656	1.1342086245916854	1.7695092855430363	1.25419008347718	0.5509333235034419	0.3946238161278197	0.2921609859068994
ADRA1A	0.024272877107656472	1.1953559258377355	0.8095931323312535	0.8060846747112335	1.688166766976116	1.6191014555838432	1.5285824868289346
ADRA2B	0.0006585652669124173	3.711427226061327	3.696375731142961	3.250002471577871	1.5401465622138255	1.317883894658945	1.6934021872518648
AEBP1	0.001275875153083083	5.762611640013034	5.7478607626904	4.9563664258905105	2.227817576823716	2.7349847602867174	2.2068017676944947
AEN	0.0015202483162382288	33.445238016217935	30.429813956210978	31.093651393300373	20.067782427779076	21.916594404829606	21.332699369920917
AES	0.0051658878656944875	80.55775785264417	75.44532568916127	80.17228855825277	94.34205320264533	100.53192003757196	93.01728273168006
AF011889.5	0.04132111762488361	22.372222267978092	25.11489548064058	26.332920867770213	27.768085572359727	29.85725119266606	29.644792195634846
AF230666.2	0.014278162235576543	2.370176063730528	1.9217176370844262	2.1097578361685887	1.3456907393874182	1.606351076320131	1.1555897553671357
AGAP3	0.0290820787586529	10.282995561969999	9.582912078231523	9.433135711310713	10.71341157370596	11.19534496980937	10.840282917213292
AGBL5	0.01740140996027098	36.02161657273656	38.27279950378216	38.67452549248508	50.279932954851894	44.92705877829702	45.53845560190834
AGL	0.03392599779924445	5.93886453759189	6.091337448446919	5.1872851871880465	4.494572309386534	4.367681292241804	4.26928526777773
AGRN	0.006129858198727048	17.27288302361797	17.496440913489558	16.047866666029392	22.348190118603682	20.31098240950871	20.913116896803036
AHNAK	0.01023768980005375	15.467343460593662	14.33372148881152	14.200511492773524	17.6520912370687	16.62222192639	18.181954962463994
AHR	0.0017654332471893819	0.24014794013905236	0.48025457187381465	0.2892431169484004	1.3753509421716297	1.1054406869293107	1.4067708349917465
AK2	0.013788278747201324	28.081479826282848	26.531829939108317	28.02665042749699	35.07907852277947	31.64329533329204	33.41961099078104
AK3	0.00934631544826187	9.826862193981226	10.78193592618566	11.019340046341354	7.739436091073562	7.3588188701147885	7.6820563206600845
AKAP2	0.0063574250464546594	2.9263146089918783	3.1870637424455475	2.575721667148494	7.4666746587659505	6.43065408430767	8.105457616105653
AKIRIN2	0.015434816562775205	42.18305664068023	41.07629218627152	39.00912031311402	36.02161657273656	31.432670015729528	33.69799611782781
AKNA	0.00021568079813004447	16.23615534079276	15.71069326943214	16.176535962633192	6.891885847392593	6.966844404822015	7.945091287121483
AKT2	0.003578564759933877	15.78839214843462	15.801983122410087	16.128135890572306	14.21654004597991	14.26315043629072	14.202646252610215
AKT3	0.029158001102127275	0.7221488742848443	0.5707967845211951	0.5411444886025016	0.8767701058749785	1.2329393395807724	1.141056269284311
AL022393.9	0.007634047883953299	2.7349847602867174	3.1024861644521557	2.264964094610162	0.9279955206187745	0.9212108510453256	1.429048286915221
AL031664.1	0.018086676727816567	1.5039830716694862	1.990426708456993	1.5296682913835185	0.8761803131871059	0.6582122592958434	0.7698344824470252
AL133493.2	0.007203920583774853	2.126664029864569	2.6837576491919584	1.7064874395492666	4.076918743031929	3.6783054893326455	4.46085340366472
AL161668.5	0.0219484581008351	0.7206341426794293	1.6844972438022967	0.7739538513165302	2.861714023123471	2.6046114856449782	2.2282610943995746
AL358113.1	0.02924670255892551	9.112482812584036	9.902759542056337	10.329312882748049	8.71485949400156	7.897925253667246	8.13584461679433
ALDH1B1	0.03251282138404058	23.179612040020714	21.38832852780887	24.35048584916807	27.65001312246743	27.637569125627735	27.602901420862807
ALDH4A1	0.019495573913378896	4.007815972068568	5.357061258069738	4.687778734160754	6.790301763637697	6.959981560256217	6.252379166681126
ALDH6A1	0.01539727373872759	5.671554931984903	5.721291535934033	5.8193340945229615	7.728168453354239	7.386740843574184	8.3314237807695
ALKBH4	0.028960632843323567	1.2292907455381699	1.063775069438494	1.6344299966086009	2.280299499842494	2.0622739974539974	1.8098261489565424
ALS2CL	0.015067232043604608	0.7974071664581937	0.7300310191483651	0.8349993007809436	1.5086680433303608	1.9425139884367086	1.646285718993436
ALX4	0.0014289827960319277	2.635636875600956	2.149529081854845	2.2835090086299568	3.703027386550474	3.8472511841208914	4.119251531124662
AMER1	0.04114935693418204	13.812442786818005	13.73692262176049	14.00122005411886	15.865782975186091	14.720590735509937	15.367526491992814
