gene	differential_expression_T_test_p_value	out_aug/HAP1_KO1_a_L000/HAP1_KO1_a_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_b_L000/HAP1_KO1_b_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_c_L000/HAP1_KO1_c_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_a_L000/HAP1_P1_a_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_b_L000/HAP1_P1_b_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_c_L000/HAP1_P1_c_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	HAP1_P1	HAP1_KO1	rratio
HAGLR	0.0021287855203183	3.0203105136437998	2.9419185657791638	3.34745338109259	0.8336668026356472	0.8215156938349398	0.7545962989140625	0.8032595984615498	3.103227486838518	-1.1775120911222987
PSAT1	0.0043524528605751	228.0800348135008	195.65756626175437	229.26065673063064	58.5885980522942	55.52428346664351	55.44468026313476	56.51918726069082	217.66608593529529	-1.175459912899243
FCGRT	0.0194597545952359	4.9505945500870565	7.3012707903915635	7.003301636546517	1.6723161305942271	1.9714734204734805	1.403283212371296	1.6823575878130013	6.418388992341712	-1.1692826970124177
GFRA3	0.0029784096856914	1.9280146345008096	1.6908769431042687	1.8228925952003212	0.7387657382657098	0.3087494589063171	0.3803258531198663	0.4759470167639644	1.8139280576017998	-1.1686061443403601
NENFP1	0.0049744489136993	5.242344834028908	4.624958546782477	5.974262730354435	1.6699721987440832	1.280262624242984	1.2084010954979731	1.3862119728283469	5.280522037055274	-1.16828121789575
RP11-417L19.2	0.0499746922634475	3.3094579133789037	6.075095802461597	4.127896112754596	0.9143789324287992	1.112594290234857	1.550758320660578	1.192577181108078	4.504149942865031	-1.1626229200345968
NHLH1	0.0312311401086184	3.142361598705193	5.462487649774263	4.359381222738253	1.4885303592749082	1.2412531306794	0.7159600144165328	1.1485811681236135	4.32141015707257	-1.1600855651576967
SESN2	0.0001203825288232	42.92652343590106	43.67103535269055	42.20599511814771	11.4511227282948	11.67775008029822	11.46249213487645	11.53045498115649	42.934517968913106	-1.1531838275783626
ADM2	0.0100544443980416	13.137330300152652	12.159376361216893	9.671228647183977	3.5084618343915888	3.3223554572094187	2.573237063224826	3.134684784941945	11.655978436184506	-1.152253083427801
GLMP	0.0247480308815421	1.9433544096752968	3.0573148112879487	2.7715539151202377	0.875153997996834	0.591665629944532	0.6867737865389921	0.7178644714934528	2.590741045361161	-1.1321244338903191
TAL1	0.0009386414244152	8.908436374938294	8.972721968779451	9.061923214720954	2.9467484735890928	2.395672165129546	2.14997297946118	2.4974645393932726	8.981027186146234	-1.1296889524826876
RP11-170M17.1	0.0009908844750883	2.738605097864209	3.015088218910465	3.387166506541243	1.144607441761094	0.8002799577238751	0.6155906243394709	0.8534926746081467	3.046953274438639	-1.1247229821844054
TLE1	0.0085633075846836	1.0206764832224209	1.369518562275922	1.0494365136880497	0.4218309718103383	0.2750265154625245	0.2686978999590149	0.3218517957439592	1.1465438530621308	-1.123255926273964
PCDH11X	0.0018558264853635	0.957956727879656	1.077604590487572	1.2042810124528545	0.2535612160389197	0.2776097943958651	0.3903490017547787	0.30717333739652114	1.0799474436066943	-1.114213148261358
RP11-277I20.2	0.0433477776446929	3.453656455895583	2.2596390080773343	1.8556963560622728	0.068678191061238	0.8944321664829027	1.2132841072305829	0.7254648215915745	2.5229972733450636	-1.106697507448398
SLC1A4	6.995219186953022e-05	8.871609209454078	8.048462137096427	8.546611038000004	1.9566972758977064	2.714872497905973	2.7366272322454344	2.4693990020163716	8.488894128183503	-1.0986191105945233
LINC01096	0.0181283218414758	1.7082513052768682	1.0455983495259435	1.3430649373584498	0.1720328834484036	0.3972068745237862	0.62471312190919	0.3979842932937933	1.365638197387087	-1.0973481107282912
ZNF532	0.0015528463507731	6.830436064989613	6.410481690305471	7.302229113997456	1.8619807002283013	2.061758259491405	2.086761074394627	2.0035000113714445	6.847715623097514	-1.0945876389817961
TEX40	0.005543653426138	5.528202038477359	4.507303184462802	4.500413471284978	1.4748889561485186	1.2048962183091512	1.584874607348108	1.4215532606019259	4.8453062314083795	-1.0926534973925734
ADPRH	0.0257660066553126	1.1342086245916854	1.7695092855430363	1.25419008347718	0.5509333235034419	0.3946238161278197	0.2921609859068994	0.4125727085127204	1.3859693312039674	-1.0824285462291219
BHMG1	0.0017208636073985	1.205265222352278	1.020095025464512	1.1104820135118498	0.4334401745168647	0.3772398379481427	0.183183850145974	0.3312879542036604	1.11194742044288	-1.081818641578695
RGMB-AS1	0.036121824852233	2.5598371109053955	3.787687279123628	2.4595703329773597	0.758568861582404	0.8334273739102663	1.043338647831305	0.8784449611079918	2.9356982410021275	-1.0787498900177581
RP11-325K4.3	0.0312055401266468	1.7328773174471712	1.2389215973460297	1.1869972833290137	0.8274606044527736	0.0363417006130634	0.3901307303973109	0.417977678487716	1.3862653993740714	-1.0733450861109861
RPL13AP7	0.030737713325954	1.6993798955882615	1.5923889780887528	1.0991414365704004	0.4243287237204193	0.4359162232784665	0.465075347077122	0.44177343135866926	1.4636367700824717	-1.0725914429878929
RP11-513G11.4	0.0021022676788019	1.5239918165447524	1.5545768758946714	1.263656773739883	0.4861725805098364	0.3365353871656011	0.4891807056510439	0.4372962244421605	1.4474084887264356	-1.0719050652619826
PCK2	2.38548527040994e-06	68.0524341206318	65.93616913192037	68.77085604430086	20.17093122770904	22.12650208155364	19.63872741312005	20.64538690746091	67.58648643228435	-1.0640395074481135
RP11-326C3.14	0.0285762019077822	2.816630475493579	3.1558313097737094	3.481301707660395	0.4493105939453755	1.891900116871968	0.5499064841142186	0.963705731643854	3.151254497642561	-1.063217452470035
AC007395.3	0.0342484999996754	1.5577101728474962	1.8657499173561505	2.063267319955815	0.5404776515004738	0.0509668594077421	1.0929740052796892	0.5614728387293018	1.8289091367198207	-1.06044666585338
GPT2	2.4232532596072917e-05	22.089835195112173	21.541767462753125	21.369267269525864	6.63103221354844	6.199430505963214	7.435034837857914	6.755165852456522	21.66695664246372	-1.0493087412927953
BBOX1-AS1	0.0165010516485315	1.7548088179224532	2.1692601471604647	2.5741599757197235	0.733079632391355	0.5318531358938835	0.8008856165186572	0.6886061282679652	2.1660763136008803	-1.0351205189503845
RP1-18D14.7	0.0028950743720586	1.103561043342115	0.9008117768186764	1.1366529531407117	0.3935016605394149	0.2555479277800881	0.3645733531967765	0.3378743138387598	1.047008591100501	-1.0241072003020253
NKX2-5	0.003668164032822	1.8650287639661016	1.536356559602863	2.050267813156108	0.5704385394966328	0.4040177222733194	0.7884610447477264	0.5876391021725595	1.8172177122416908	-1.0225794755839708
CTC-564N23.2	0.0009701330564698	20.07945872149353	23.59246101683057	24.297904195925508	6.084996780134445	6.463703818348903	9.454443847863152	7.3343814821155	22.6566079780832	-1.0217886619780892
RNY1P16	0.0343373238140644	40.63127158365113	24.57279050463151	30.46389980451929	6.248402144478171	20.23779707196467	4.9152641710254015	10.467154462489415	31.889320630933977	-1.011517890532432
RP5-1024C24.1	0.0174483338973044	4.447296822508529	5.956987786158475	3.9106330838710823	0.955526127531888	1.147616462355139	2.621829400745423	1.5749906635441502	4.77163923084603	-1.0073530741496095
ESRG	0.000760543253869	14.985287803496954	17.717531694210923	17.400902914575358	6.326841653283167	4.326275651119139	6.006158499007498	5.553091934469935	16.70124080409441	-1.001885700244424
